Date,Bonding_Minutes,Pet_Mood,Activity_Type,Energy_Level,Stress_Calmness,Indoor/Outdoor,Main_Bonding_Time,Pregnancy_Phase,Bonding_Bucket,Week
2025-12-10,40,4,Walk,5,4,Outdoor,Morning,Pre-Conception,15–45 min,50
2025-12-11,20,3,Quiet Cuddling,3,4,Indoor,Afternoon,Pre-Conception,15–45 min,50
2025-12-12,50,5,Play + Training,5,5,Indoor,Evening,Pre-Conception,>45 min,50
2025-12-13,5,2,Quiet Cuddling,2,2,Indoor,Afternoon,Pre-Conception,<15 min,50
2025-12-14,30,4,Walk,4,3,Outdoor,Evening,Pre-Conception,15–45 min,50
2025-12-15,25,4,Quiet Cuddling,4,3,Indoor,Evening,Pre-Conception,15–45 min,51
2025-12-16,35,4,Walk + Play,5,4,Outdoor,Afternoon,Pre-Conception,15–45 min,51
2025-12-17,20,3,Quiet Cuddling,3,3,Indoor,Evening,Pre-Conception,15–45 min,51
2025-12-18,45,5,Run + Walk,5,5,Outdoor,Evening,Pre-Conception,15–45 min,51
2025-12-19,25,3,Walk,4,3,Outdoor,Morning,Pre-Conception,15–45 min,51
2025-12-20,15,2,Play,3,2,Indoor,Evening,Pre-Conception,<15 min,51
2025-12-21,40,4,Walk + Play,5,4,Outdoor,Evening,Pre-Conception,15–45 min,51
2025-12-22,30,4,Walk,4,4,Outdoor,Morning,Pre-Conception,15–45 min,52
2025-12-23,18,3,Quiet Cuddling,3,3,Indoor,Evening,Pre-Conception,15–45 min,52
2025-12-24,55,5,Run + Walk,5,5,Outdoor,Afternoon,Pre-Conception,>45 min,52
2025-12-25,10,4,Walk + Training,4,4,Outdoor,Morning,Pre-Conception,<15 min,52
2025-12-26,12,2,Play,3,2,Indoor,Evening,Pre-Conception,<15 min,52
2025-12-27,35,4,Walk,4,4,Outdoor,Evening,Pre-Conception,15–45 min,52
2025-12-28,45,5,Walk,5,5,Outdoor,Morning,Early Pregnancy,15–45 min,52
2025-12-29,30,4,Walk,4,4,Outdoor,Morning,Early Pregnancy,15–45 min,1
2025-12-30,22,3,Quiet Cuddling,3,3,Indoor,Evening,Early Pregnancy,15–45 min,1
2025-12-31,50,5,Run + Walk,5,5,Outdoor,Evening,Early Pregnancy,>45 min,1
2026-01-01,18,4,Training,2,4,Indoor,Afternoon,Early Pregnancy,15–45 min,1
2026-01-02,15,4,Quiet Cuddling,2,4,Indoor,Evening,Early Pregnancy,<15 min,1
2026-01-03,22,4,Walk,2,4,Outdoor,Morning,Early Pregnancy,15–45 min,1
